L14_V009,026250,8479
L14_V009,026220,8479
L14_V009,026218,8479
L20_V009,038572,8479
L20_V009,038717,8479
L20_V009,038547,8479
L20_V009,038523,8479
L20_V009,038702,8479
L03_V023,013730,8479
L03_V023,013713,8479
L03_V023,013680,8479
L13_V025,016127,8479
L13_V025,016127,8479
L15_V019,011614,8479
L15_V017,014004,8479
L15_V017,013147,8479
L15_V019,011654,8479
L13_V025,016099,8479
L13_V025,016109,8479
L13_V025,016118,8479
L13_V025,015396,8479
L13_V025,016100,8479
L16_V017,021293,8479
L16_V023,028262,8479
L16_V023,028263,8479
L16_V023,028315,8479
L16_V023,028289,8479
L16_V031,027246,8479
L16_V023,028248,8479
L16_V012,029714,8479
L16_V025,025155,
L16_V012,029713,
L16_V031,027272,
L16_V023,025583,
L16_V031,027220,
L02_V006,024764,
L02_V006,024783,
L02_V026,022448,
L02_V006,024744,
L02_V006,024802,
L02_V025,022352,
L01_V023,027430,
L01_V018,011690,
L01_V018,011758,
L01_V018,010504,
L01_V019,010965,
L07_V014,011690,
L22_V016,029235,
L22_V001,032311,
L19_V018,016062,
L19_V018,016062,
L19_V018,016035,
L19_V018,016035,
L19_V018,016815,
L19_V018,016131,
L19_V018,016803,
L19_V018,016791,
L19_V018,016779,
L19_V018,010905,
L19_V014,011046,
L19_V014,011046,
L07_V030,013292,
L07_V017,024790,
L07_V002,014151,
L07_V017,024800,
L07_V002,014150,
L19_V018,016091,
L19_V018,016091,
L16_V012,029613,
L16_V012,029613,
L09_V023,015483,
L09_V023,015357,
L09_V023,015407,
L09_V023,015229,
L09_V023,014559,
L09_V023,015470,
L09_V023,015060,
L09_V023,015374,
L09_V023,015497,
L19_V018,016090,
L19_V018,016090,
L18_V022,027595,
L18_V022,030672,
L18_V021,022916,
L18_V023,000035,
L18_V021,023096,
L18_V021,023110,
L18_V023,000023,
L18_V021,018105,
L17_V022,013517,
L17_V022,013475,
L14_V023,021737,
L14_V023,022157,
L12_V023,029248,
L12_V020,027420,
L17_V022,013474,
L06_V003,030086,
L06_V003,030159,
L17_V022,012641,
L14_V023,021760,
L14_V023,021806,
L06_V003,030135,
L17_V022,012642,
L14_V024,023208,
L12_V020,027449,
L12_V020,027440,
L06_V003,030087,
L12_V020,027421,
L06_V018,021196,
L17_V022,013453,
L06_V003,030111,
L20_V003,030757,
L10_V019,026863,
L04_V019,022117,
L15_V010,012290,
L03_V026,009480,
L03_V011,011250,
L22_V020,034217,
L15_V010,015412,
L03_V026,009479,
L01_V019,012089,
L13_V015,009334,
L03_V026,009507,
L03_V026,009520,
L04_V019,022143,
L13_V015,009335,
L02_V003,027592,
L09_V009,001069,
L04_V017,017661,
L03_V011,010486,
L02_V003,027572,
L20_V010,030001,
L03_V011,026629,
L02_V003,027582,
L10_V019,026901,
L15_V010,015129,
L03_V011,011262,
L03_V026,009493,
L01_V018,012091,
L16_V012,029663,
L13_V015,009345,
L02_V024,021000,
L18_V022,028117,
L10_V026,023084,
L09_V024,017732,
L01_V018,012092,
L13_V025,015661,
L13_V025,015902,
L02_V013,024083,
L21_V026,005041,
L22_V021,000994,
L05_V029,013802,
L22_V020,033554,
L10_V026,023102,
L03_V011,011274,
L01_V018,012103,
L07_V022,017217,
L05_V029,013816,
L01_V018,011269,
L10_V026,031704,
L20_V010,030017,
L02_V024,020975,
L08_V021,024940,
L09_V003,016596,
L01_V019,012090,
L15_V010,015115,
L03_V011,011251,
L05_V029,013787,
L08_V021,024939,
L02_V024,021024,
L22_V021,000985,
L22_V016,029145,
L03_V011,011286,
L19_V022,015212,
L07_V007,011308,
L19_V020,013569,
L03_V011,026628,
L22_V016,029168,
L10_V026,023067,
L08_V001,031451,
L02_V013,024090,
L01_V018,011281,
L19_V018,011170,
L04_V020,020810,
L18_V022,028042,
L04_V020,020825,
L16_V012,028904,
L02_V003,027561,
L10_V026,031668,
L19_V022,015118,
L08_V001,031450,
L08_V001,031501,
L18_V012,034327,
L15_V028,016544,
L01_V011,026260,
L08_V001,031467,
L04_V024,024142,
L07_V007,011320,
L22_V020,034270,
L07_V017,009293,
L09_V004,018515,
L18_V022,026874,
L09_V024,017680,
