L05_V019,025972
L05_V019,026066
L05_V019,026159
L05_V019,025878
L05_V019,025879
L05_V019,026868
L05_V019,026869
L05_V019,026883
L05_V019,025860
L01_V025,019146
L05_V002,026562
L05_V002,026617
L05_V003,029071
L05_V028,022209
L05_V019,026911
L05_V002,026295
L05_V002,026563
L05_V003,029044
L05_V003,029053
L05_V019,025842
L05_V002,026730
L09_V008,032425
L05_V003,028779
L09_V008,032424
L05_V019,025768
L05_V003,028974
L05_V003,028752
L05_V003,028805
L01_V025,018935
L01_V025,018936
L01_V025,019076
L01_V025,019006
L05_V003,028961
L05_V019,026897
L05_V002,026671
L09_V015,023885
L05_V002,026701
L05_V028,022276
L05_V002,026672
L05_V003,028753
L09_V015,023767
L09_V008,032496
L09_V008,032555
L09_V015,023846
L09_V008,032497
L05_V019,025824
L01_V021,017870
L05_V002,026759
L09_V008,032447
L05_V019,025807
L05_V028,022142
L09_V008,032432
L15_V021,025593
L05_V028,022143
L03_V024,027216
L09_V015,023807
L05_V002,026296
L01_V021,018064
L13_V029,004693
L09_V015,023768
L11_V001,027847
L11_V001,027766
L11_V001,027603
L05_V017,028383
L01_V021,017892
L01_V021,017914
L11_V001,027685
L05_V017,028485
L01_V021,018034
L03_V024,027533
L01_V021,018054
L01_V021,018021
L09_V008,032440
L15_V021,025400
L11_V001,017682
L04_V023,025946
L01_V021,017847
L19_V018,002985
L11_V001,017560
L13_V029,004886
L15_V021,025592
L15_V021,025304
L11_V026,015757
L19_V018,003041
L07_V027,027198
L19_V018,003016
L05_V017,028417
L12_V009,033151
L07_V027,027149
L05_V017,028382
L07_V027,027248
L20_V006,033007
L12_V009,033327
L07_V027,027148
L11_V026,015707
L09_V008,032656
L05_V017,028187
L13_V029,005079
L19_V018,003015
L01_V017,004278
